Time :0
Waiting clients: { ID: 200; Arrival time: 10; Service time: 5 }

Waiting clients: { ID: 281; Arrival time: 10; Service time: 8 }

Waiting clients: { ID: 285; Arrival time: 10; Service time: 5 }

Waiting clients: { ID: 460; Arrival time: 10; Service time: 7 }

Waiting clients: { ID: 663; Arrival time: 10; Service time: 3 }

Waiting clients: { ID: 665; Arrival time: 10; Service time: 5 }

Waiting clients: { ID: 870; Arrival time: 10; Service time: 3 }

Waiting clients: { ID: 912; Arrival time: 10; Service time: 5 }

Waiting clients: { ID: 996; Arrival time: 10; Service time: 8 }

Waiting clients: { ID: 138; Arrival time: 11; Service time: 5 }

Waiting clients: { ID: 267; Arrival time: 11; Service time: 5 }

Waiting clients: { ID: 346; Arrival time: 11; Service time: 8 }

Waiting clients: { ID: 828; Arrival time: 11; Service time: 8 }

Waiting clients: { ID: 914; Arrival time: 11; Service time: 4 }

Waiting clients: { ID: 181; Arrival time: 12; Service time: 3 }

Waiting clients: { ID: 216; Arrival time: 12; Service time: 6 }

Waiting clients: { ID: 353; Arrival time: 12; Service time: 5 }

Waiting clients: { ID: 631; Arrival time: 12; Service time: 8 }

Waiting clients: { ID: 707; Arrival time: 12; Service time: 8 }

Waiting clients: { ID: 721; Arrival time: 12; Service time: 5 }

Waiting clients: { ID: 759; Arrival time: 12; Service time: 8 }

Waiting clients: { ID: 821; Arrival time: 12; Service time: 3 }

Waiting clients: { ID: 163; Arrival time: 13; Service time: 6 }

Waiting clients: { ID: 236; Arrival time: 13; Service time: 6 }

Waiting clients: { ID: 289; Arrival time: 13; Service time: 7 }

Waiting clients: { ID: 344; Arrival time: 13; Service time: 6 }

Waiting clients: { ID: 588; Arrival time: 13; Service time: 8 }

Waiting clients: { ID: 613; Arrival time: 13; Service time: 8 }

Waiting clients: { ID: 660; Arrival time: 13; Service time: 4 }

Waiting clients: { ID: 704; Arrival time: 13; Service time: 5 }

Waiting clients: { ID: 842; Arrival time: 13; Service time: 8 }

Waiting clients: { ID: 322; Arrival time: 14; Service time: 3 }

Waiting clients: { ID: 485; Arrival time: 14; Service time: 5 }

Waiting clients: { ID: 543; Arrival time: 14; Service time: 6 }

Waiting clients: { ID: 581; Arrival time: 14; Service time: 8 }

Waiting clients: { ID: 607; Arrival time: 14; Service time: 7 }

Waiting clients: { ID: 620; Arrival time: 14; Service time: 7 }

Waiting clients: { ID: 635; Arrival time: 14; Service time: 7 }

Waiting clients: { ID: 728; Arrival time: 14; Service time: 4 }

Waiting clients: { ID: 762; Arrival time: 14; Service time: 5 }

Waiting clients: { ID: 829; Arrival time: 14; Service time: 3 }

Waiting clients: { ID: 22; Arrival time: 15; Service time: 4 }

Waiting clients: { ID: 58; Arrival time: 15; Service time: 6 }

Waiting clients: { ID: 108; Arrival time: 15; Service time: 6 }

